English,Polski
sorry,Przepraszam
where,gdzie
what's,co
let,pozwoliæ
thing,rzecz
am,jestem
maybe,mo¿e
down,na dó³
man,cz³owiek
has,ma
uh,uh
very,bardzo
by,przez
there's,jest
should,powinien
anything,byle co
said,powiedziany
much,du¿o
any,ka¿dy
life,¿ycie
even,parzysty
please,Proszê
doing,robiæ
thank,podziêkowaæ
give,daæ
only,tylko
thought,myœl
help,Wsparcie
two,dwa
talk,rozmowa
people,ludzie
still,nadal
wait,czekaæ
into,w
find,odnaleŸæ
nothing,nic
again,jeszcze raz
things,rzeczy
let's,niech
doesn't,nie
call,po³¹czenie
told,powiedzia³
great,wspania³y
before,przed
better,lepszy
ever,zawsze
night,noc
away,z dala
first,pierwszy
believe,uwierzyæ
other,inny
feel,czuæ
everything,wszystko
work,praca
you've,masz
fine,w porz¹dku
home,Dom
after,po
last,"ostatni, ubieg³y, zesz³y"
these,te
day,dzieñ
keep,trzymaæ
does,robi
put,po³o¿yæ
around,na oko³o
stop,zatrzymaæ
they're,oni
I'd,ID
guy,ch³opak
long,d³ugo
isn't,nie jest
always,zawsze
listen,s³uchaæ
wanted,chcia³
Mr.,Pan.
guys,faceci
huh,huh
those,te
big,du¿y
lot,los
happened,sta³o siê
thanks,dziêki
won't,przyzwyczajenie
trying,próbowaæ
kind,uprzejmy
wrong,Ÿle
through,przez
talking,mówiæ
made,zrobiony
new,Nowy
being,istota
guess,odgadn¹æ
hi,czeœæ
care,opieka
bad,z³y
mom,Mamo
remember,Zapamiêtaj
we'll,dobrze
together,razem
dad,tata
leave,wychodziæ
mother,matka
place,miejsce
understand,Rozumiesz
wouldn't,nie bêdzie
actually,tak w³aœciwie
hear,s³yszeæ
baby,kochanie
nice,mi³y
father,ojciec
else,jeszcze
stay,zostaæ
done,gotowy
wasn't,nie by³o
their,ich
course,kierunek
might,moc
mind,umys³
every,ka¿dy
enough,doœæ
try,próbowaæ
hell,piek³o
came,przysz³o
someone,ktoœ
you'll,bêdziesz
own,posiadaæ
family,rodzina
whole,ca³y
another,inne
house or House,dom lub dom
Jack or jack,Jack lub jack
yourself,siebie
idea,pomys³
ask,zapytaæ
best,Najlepsza
must,musieæ
coming,przyjœcie
old,stary
looking,poszukuje
woman,kobieta
hello,czeœæ
which,który
years,roku
room,Pokój
money,pieni¹dze
left,lewo
knew,wiedzia³
tonight,dzisiejszej nocy
real,real
son,syn
hope,nadzieja
name,Nazwa
same,podobnie
went,poszed³
um,um
hmm,hmm
happy,szczêœliwy
pretty,³adny
saw,widzia³
girl,dziewczynka
sir,Pan
show,pokazaæ
friend,przyjaciel
already,ju¿
saying,powiedzenie
may or May,"mo¿e,"
next,Kolejny
three,trzy
job,praca
problem,problem
minute,minuta
found,znaleziony
world,œwiat
thinking,myœl¹cy
haven't,nie ma
heard,s³ysza³
honey,kochanie
matter,materia
myself,siebie
couldn't,nie móg³
exactly,dok³adnie
having,maj¹cy
ah,ah
probably,prawdopodobnie
happen,zdarzyæ
we've,mamy
hurt,ból
boy,ch³opiec
both,obie
while,podczas
gotta,musieæ
alone,sam
since,od
excuse,pretekst
start,pocz¹tek
kill,zabiæ
hard,ciê¿ko
you'd,Mo¿na by
today,dzisiaj
car,samochód
ready,gotowy
until,a¿ do
without,bez
whatever,cokolwiek
wants,pragnienia
hold,trzymaæ
wanna,chce
yet,jeszcze
seen,widziany
deal,rozdaæ
took,wziê³a
once,pewnego razu
gone,odszed³
called,nazywa
morning,ranek
supposed,domniemany
friends,znajomych
head,g³owa
stuff,rzeczy
most,wiêkszoœæ
used,u¿ywany
worry,martwiæ siê
second,druga
part,czêœæ
live,relacja na ¿ywo
truth,prawda
school,szko³a
face,Twarz
forget,zapomnieæ
TRUE,PRAWDZIWE
business,biznes
each,ka¿dy
cause,przyczyna
soon,wkrótce
few,ma³o
telling,wymowny
wife,¿ona
who's,kto
use,pos³ugiwaæ siê
chance,szansa
run,biegaæ
move,ruszaj siê
anyone,ktoœ
person,osoba
bye,PA
J.,JOT.
somebody,ktoœ
Dr. or dr.,Dr lub dr.
heart,serce
such,taki
miss,têskniæ
married,¿onaty
point,punkt
later,póŸniej
making,zrobienie
meet,spotykaæ siê
anyway,tak czy inaczej
phone,telefon
reason,powód
damn,cholera
lost,Stracony
looks,wygl¹d
bring,przynieœæ
case,walizka
turn,skrêcaæ
wish,¿yczenie
trust,zaufanie
check,czek
change,zmiana
end,koniec
late,póŸno
anymore,wiêcej
five,piêæ
least,najmniej
town,miasto
aren't,nie s¹
ha,ha
working,pracuj¹cy
year,rok
taking,nabieraj¹cy
means,znaczy
brother,brat
play,graæ
hate,nienawidziæ
ago,temu
says,mówi
beautiful,piêkny
gave,da³
fact,fakt
crazy,zwariowany
party,przyjêcie
sit,siedzieæ
open,otwarty
afraid,przestraszony
between,pomiêdzy
important,wa¿ny
rest,reszta
fun,zabawa
kid,dziecko
word,s³owo
watch,zegarek
glad,zadowolony
everyone,wszyscy
days,dni
sister,siostra
minutes,minuty
bit,kawa³ek
couple,para
either,zarówno
Mrs.,Pani.
feeling,uczucie
daughter,córka
wow,³a³
gets,dostaje
asked,zapyta³
under,pod
break,z³amaæ
promise,obietnica
door,drzwi
set,zestaw
close,blisko
hand,d³oñ
easy,³atwo
question,pytanie
doctor,lekarz
tried,wypróbowany
far,daleko
walk,spacerowaæ
needs,wymagania
trouble,k³opot
mine,mój
though,chocia¿
times,czasy
different,ró¿ne
killed,zabity
hospital,szpital
anybody,ktoœ
Sam or SAM,Sam lub SAM
alright,w porz¹dku
wedding,œlub
shut,zamkn¹æ
able,zdolny
die,umieraæ
perfect,idealny
police,Policja
stand,stoisko
comes,pochodzi
hit,trafienie
story,fabu³a
ya,ya
waiting,Czekanie
dinner,obiad
against,przeciwko
funny,zabawny
husband,m¹¿
almost,prawie
stupid,g³upi
pay,zap³aciæ
answer,odpowiedŸ
four,cztery
office,gabinet
cool,ch³odny
eyes,oczy
news,Aktualnoœci
child,dziecko
shouldn't,nie powinien
half,pó³
side,bok
yours,Twój
moment,za chwilê
sleep,sen
read,czytaæ
young,m³ody
men,mê¿czyŸni
sounds,odg³osy
sonny or Sonny,Sonny lub Sonny
lucky,Szczêœciarz
pick,wybieraæ
sometimes,czasami
em,em
bed,³ó¿ko
also,równie¿
date,data
line,linia
plan,plan
hours,godziny
lose,straciæ
fire,ogieñ
free,wolny
hands,rêce
serious,powa¿ny
Leo,Lew
shit,gówno
behind,za
inside,wewn¹trz
high,wysoki
ahead,przed siebie
week,tydzieñ
wonderful,wspaniale
T.,T.
fight,walka
past,przesz³oœæ
cut,skaleczenie
quite,ca³kiem
number,numer
he'll,piek³o
sick,chory
S.,S.
it'll,bêdzie
game,gra
eat,jeœæ
nobody,nikt
goes,idzie
death,œmieræ
along,wzd³u¿
save,zapisaæ
seems,wydaje siê
finally,Wreszcie
lives,zyje
worried,zmartwiony
upset,zdenerwowany
Theresa,Theresa
Carly,Carly
Ethan,Ethan
met,spotka³
book,ksi¹¿ka
brought,przyniós³
seem,wydaæ siê
sort,sortowaæ
safe,bezpieczny
living,¿ycie
children,dzieci
weren't,nie by³o
leaving,odejœcie
front,z przodu
shot,strza³
asking,prosz¹c
running,bieganie
clear,jasny
figure,postaæ
hot,gor¹co
felt,poczu³
six,szeœæ
parents,rodzice
drink,drink
absolutely,absolutnie
how's,jak
daddy,tatuœ
sweet,S³odkie
alive,¿ywy
Paul,Pawe³
sense,sens
meant,Oznacza³o
happens,dzieje siê
David,David
special,specjalny
bet,Zak³ad
blood,krew
ain't,nie jest
kidding,¿artujê
lie,k³amstwo
full,pe³ny
meeting,spotkanie
dear,drogi
coffee,Kawa
seeing,widzenie
sound,dŸwiêk
fault,wina
water,woda
fuck,pierdoliæ
ten,dziesiêæ
women,kobiety
John or john,John czy John
welcome,Witamy
buy,Kup
hour,godzina
speak,mówiæ
lady,dama
Jen,Jen
thinks,myœli
Christmas,Bo¿e Narodzenie
body,cia³o
order,zamówienie
outside,na zewn¹trz
hang,powiesiæ
possible,mo¿liwy
worse,gorzej
company,firma
mistake,b³¹d
ooh,ooh
handle,uchwyt
spend,wydaæ
C.,DO.
totally,ca³kowicie
giving,daj¹cy
control,kontrola
here's,oto
marriage,zwi¹zek ma³¿eñski
realize,realizowaæ
D.,RE.
power,moc
president,prezydent
unless,chyba ¿e
sex,seks
girls,dziewczyny
send,wys³aæ
needed,potrzebne
O. or o,Lub O O.
taken,wziêty
died,zmar³y
scared,przestraszony
picture,obrazek
talked,rozmawialiœmy
Jake,Jake
Al,Glin
ass,ty³ek
hundred,sto
changed,zmieniony
completely,ca³kowicie
explain,wyjaœniæ
playing,gra
certainly,na pewno
sign,znak
boys,ch³opców
relationship,zwi¹zek
Michael,Michael
loves,mi³oœci
fucking,pierdolony
hair,w³osy
lying,k³amstwo
choice,wybór
anywhere,gdziekolwiek
secret,sekret
future,przysz³oœæ
weird,dziwne
luck,szczêœcie
she'll,muszla
Max or max.,Max lub max.
Luis,Luis
turned,obrócony
known,znany
touch,dotkn¹æ
kiss,poca³unek
questions,pytania
obviously,oczywiœcie
wonder,cud
calling,powo³anie
somewhere,gdzieœ
straight,prosto
cold,zimno
white or White,bia³e lub bia³e
fast,szybki
Natalie,Natalie
words,s³owa
R.,R.
food,jedzenie
none,¯aden
drive,napêd
feelings,uczucia
they'll,Bêd¹
worked,pracowa³
marry,o¿eniæ
light,lekki
test,test
drop,upuszczaæ
cannot,Nie mogê
Frank,Szczery
sent,przesy³ane
city,Miasto
dream,œniæ
protect,ochraniaæ
twenty,dwadzieœcia
class,klasa
Lucy,Lucy
surprise,niespodzianka
its,jego
sweetheart,kochanie
forever,na zawsze
poor,ubogi
looked,wygl¹da³
mad,szalony
except,z wyj¹tkiem
gun,pistolet
y'know,Ty wiesz
dance,taniec
appreciate,doceniaæ
especially,szczególnie
situation,sytuacja
besides,oprócz
weeks,tydzieñ
pull,Ci¹gn¹æ
himself,samego siebie
hasn't,nie ma
act,akt
worth,wartoœæ
Sheridan,Sheridan
amazing,niesamowity
top,Top
given,dany
expect,oczekiwaæ
Ben,Ben
rather,raczej
Julian,juliañski
involved,zaanga¿owany
swear,przysiêgaæ
piece,kawa³ek
busy,zajêty
law,prawo
decided,zdecydowany
black or Black,czarny lub czarny
Joey,Joey
happening,wydarzenie
movie,film
we'd,poœlubiæ
catch,³apaæ
Antonio,Antonio
country,kraj
less,mniej
perhaps,byæ mo¿e
step,krok
fall,spadek
watching,ogl¹danie
kept,trzymane
darling,kochanie
dog,pies
Ms.,SM.
win,zdobyæ
air,powietrze
honor,honor
personal,osobisty
moving,w ruchu
till,do
admit,przyznaæ
problems,problemy
murder,morderstwo
strong,silny
he'd,mia³
evil,z³o
definitely,Zdecydowanie
feels,czuje
information,Informacja
honest,szczery
eye,oko
broke,zepsu³ siê
longer,d³u¿ej
dollars,dolarów
tired,zmêczony
Jason,Jason
George,Jerzy
evening,wieczór
human,cz³owiek
starting,startowy
Ross,Ross
red,czerwony
entire,Ca³y
trip,wyjazd
Brooke,Brooke
E.,MI.
club,Klub
Niles,Niles
suppose,przypuszczaæ
calm,spokojna
imagine,wyobra¿aæ sobie
Todd,Todd
fair,targi
caught,z³apany
B.,B.
blame,winiæ
street,ulica
sitting,posiedzenie
favor,przys³uga
apartment,apartament
court,S¹d
terrible,straszny
clean,czysty
Tony or tony,Tony lub tony
learn,uczyæ siê
Alison,Alison
Rick,Stóg
works,Pracuje
Rose or rose,Rose lub Rose
Frasier,Frasier
relax,zrelaksowaæ siê
York,York
million,milion
charity,dobroczynnoœæ
accident,wypadek
prove,okazaæ siê
Danny,Danny
smart,m¹dry
message,wiadomoœæ
missing,brakuj¹cy
forgot,zapomnia³em
small,ma³y
interested,zainteresowany
table,stó³
nbsp,nbsp
become,staj¹ siê
Craig,Craig
mouth,usta
pregnant,w ci¹¿y
middle,œrodkowy
Billy or billy,Billy Billy lub
ring,pierœcieñ
careful,ostro¿ny
shall,powinien
dude,koleœ
team,zespó³
ride,jazda
figured,wzorzysty
wear,nosiæ
shoot,strzelaæ
stick,kij
Ray or ray,Ray lub ray
follow,pod¹¿aæ
Bo,Bo
angry,z³y
instead,zamiast
buddy,kumpel
write,pisaæ
stopped,zatrzymany
early,wczeœnie
Angel or angel,Anio³ czy anio³
Nick or nick,Nick lub nick
ran,bieg³
war,wojna
standing,na stoj¹co
forgive,Wybacz
jail,wiêzienie
wearing,ma na sobie
Miguel,Miguel
ladies,damski
kinda,trochê
lunch,lunch
Cristian,Cristian
eight,osiem
Greenlee,Greenlee
gotten,zdobyæ
Phoebe,Phoebe
thousand,tysi¹c
ridge,grzbiet
music,muzyka
Luke,£ukasz
paper,papier
tough,twardy
tape,taœma
Emily,Emilia
state,stan
count,liczyæ
college,Szko³a Wy¿sza
boyfriend,ch³opak
proud,dumny
agree,Zgodziæ siê
birthday,urodziny
bill,rachunek
seven,siedem
they've,oni
Timmy,Timmy
history,historia
share,dzieliæ
offer,oferta
hurry,poœpiech
ow,OW
feet,stóp
wondering,pe³en zdumienia
simple,prosty
decision,decyzja
building,budynek
ones,te
finish,koniec
voice,g³os
herself,siê
Chris,Chris
would've,would''ve
list,lista
Kay,Kay
mess,ba³agan
deserve,zas³u¿yæ
evidence,dowód
cute,uroczy
Jerry,Nocnik
dress,sukienka
Richard,Richard
interesting,ciekawy
Jesus,Jezus
James,James
hotel,hotel
enjoy,cieszyæ siê
Ryan,Ryan
Lindsay,Lindsay
quiet,cichy
concerned,zaniepokojony
road,Droga
Eve or eve,Eve lub eve
staying,przebywaj¹cy
short,krótki
M.,M.
beat,biæ
sweetie,kochanie
mention,wzmianka
clothes,ubranie
finished,skoñczone
fell,spad³
neither,ani
mmm,mmm
fix,naprawiæ
Victor or victor,Victor lub victor
respect,szacunek
spent,wydany
prison,wiêzienie
attention,Uwaga
holding,trzymaæ
calls,po³¹czenia
near,Blisko
surprised,zaskoczony
bar,bar
Beth,Beth
pass,przechodziæ
keeping,konserwacja
gift,prezent
hadn't,nie mia³
putting,oddanie
dark,ciemny
self,samego siebie
owe,zawdziêczaæ
using,za pomoc¹
Nora,Nora
ice,lód
helping,porcja jedzenia
bitch,suka
normal,normalna
aunt,ciocia
lawyer,prawnik
apart,niezale¿nie
certain,pewny
plans,plany
Jax,Jax
girlfriend,dziewczyna
floor,piêtro
whether,czy
everything's,wszystkie rzeczy
earth,Ziemia
private,prywatny
box,pude³ko
Dawson,Dawson
cover,pokrywa
judge,sêdzia
upstairs,na górê
Alexis,Alexis
Shawn,Shawn
sake,wzgl¹d
mommy,mamusia
possibly,mo¿liwie
worst,najgorszy
